12,000	-12,000	-3,000
12,000	-12,000	-2,000
13,000	-12,000	-1,000
13,000	-12,000	0,000
14,000	-12,000	0,000
14,000	-12,000	1,000
15,000	-12,000	2,000
16,000	-13,000	3,000
17,000	-12,000	4,000
18,000	-12,000	3,000
18,000	-13,000	3,000
17,000	-14,000	3,000
17,000	-14,000	4,000
17,000	-14,000	9,000
20,000	-14,000	21,000
28,000	-12,000	39,000
55,000	-17,000	35,000
107,000	-39,000	6,000
139,000	-41,000	-20,000
167,000	-24,000	-36,000
103,000	-53,000	2,000
21,000	-15,000	58,000
2,000	-4,000	58,000
1,000	-2,000	55,000
2,000	-2,000	53,000
2,000	-2,000	52,000
2,000	-2,000	52,000
4,000	-5,000	50,000
11,000	-9,000	46,000
15,000	-11,000	38,000
17,000	-11,000	31,000
17,000	-10,000	22,000
17,000	-9,000	16,000
17,000	-7,000	13,000
17,000	-6,000	11,000
17,000	-6,000	10,000
16,000	-6,000	10,000
16,000	-6,000	10,000
16,000	-6,000	10,000
17,000	-5,000	10,000
17,000	-5,000	10,000
17,000	-5,000	10,000
17,000	-5,000	10,000
17,000	-5,000	9,000
17,000	-5,000	9,000
17,000	-5,000	9,000
17,000	-5,000	9,000
17,000	-4,000	9,000
17,000	-4,000	9,000
18,000	-4,000	9,000
