6,000	1,000	-1,000
6,000	1,000	-1,000
6,000	1,000	-1,000
6,000	1,000	-1,000
7,000	1,000	-1,000
7,000	1,000	-1,000
6,000	1,000	-1,000
6,000	1,000	-1,000
6,000	1,000	-1,000
6,000	1,000	-2,000
6,000	2,000	-2,000
6,000	3,000	-4,000
17,000	13,000	-18,000
64,000	18,000	-8,000
97,000	-16,000	3,000
118,000	-100,000	23,000
161,000	159,000	17,000
166,000	110,000	13,000
-166,000	54,000	47,000
-79,000	-44,000	41,000
-27,000	-49,000	-9,000
-11,000	-34,000	-18,000
16,000	-4,000	-3,000
16,000	1,000	1,000
15,000	3,000	1,000
14,000	3,000	2,000
14,000	3,000	2,000
14,000	3,000	2,000
14,000	3,000	2,000
14,000	3,000	2,000
14,000	3,000	2,000
14,000	3,000	2,000
14,000	3,000	2,000
13,000	2,000	2,000
13,000	2,000	2,000
13,000	2,000	2,000
14,000	2,000	2,000
13,000	2,000	2,000
13,000	2,000	2,000
13,000	2,000	2,000
13,000	3,000	2,000
13,000	3,000	2,000
12,000	3,000	2,000
11,000	3,000	2,000
10,000	3,000	2,000
9,000	3,000	2,000
9,000	3,000	2,000
9,000	3,000	2,000
9,000	3,000	2,000
9,000	3,000	2,000
